"Label (Grouping)","ZCTA5 15203!!Total!!Estimate","ZCTA5 15203!!Total!!Margin of Error","ZCTA5 15203!!Below poverty level!!Estimate","ZCTA5 15203!!Below poverty level!!Margin of Error","ZCTA5 15203!!Percent below poverty level!!Estimate","ZCTA5 15203!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","10,302","±822","2,241","±569","21.8%","±4.9"
"    AGE","","","","","",""
"        Under 18 years","571","±201","247","±167","43.3%","±20.5"
"            Under 5 years","65","±38","22","±23","33.8%","±29.4"
"            5 to 17 years","506","±201","225","±162","44.5%","±23.0"
"            Related children of householder under 18 years","569","±200","245","±167","43.1%","±20.7"
"        18 to 64 years","8,773","±766","1,901","±494","21.7%","±5.1"
"            18 to 34 years","6,046","±795","1,484","±455","24.5%","±6.5"
"            35 to 64 years","2,727","±392","417","±179","15.3%","±6.3"
"        60 years and over","1,354","±255","246","±117","18.2%","±7.4"
"        65 years and over","958","±167","93","±56","9.7%","±6.0"
"    SEX","","","","","",""
"        Male","5,249","±609","914","±390","17.4%","±6.4"
"        Female","5,053","±558","1,327","±329","26.3%","±5.8"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","8,541","±720","1,831","±470","21.4%","±4.7"
"        Black or African American alone","1,097","±519","343","±287","31.3%","±24.9"
"        American Indian and Alaska Native alone","0","±18","0","±18","-","**"
"        Asian alone","229","±137","33","±49","14.4%","±20.1"
"        Native Hawaiian and Other Pacific Islander alone","0","±18","0","±18","-","**"
"        Some other race alone","15","±23","0","±18","0.0%","±73.6"
"        Two or more races","420","±179","34","±34","8.1%","±7.9"
"        Hispanic or Latino origin (of any race)","268","±113","98","±64","36.6%","±19.1"
"        White alone, not Hispanic or Latino","8,452","±720","1,813","±477","21.5%","±4.8"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","7,203","±639","906","±344","12.6%","±4.7"
"            Less than high school graduate","307","±157","173","±134","56.4%","±25.9"
"            High school graduate (includes equivalency)","1,261","±343","401","±218","31.8%","±14.4"
"            Some college, associate's degree","1,077","±221","147","±80","13.6%","±7.6"
"            Bachelor's degree or higher","4,558","±598","185","±92","4.1%","±2.2"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","7,331","±698","770","±262","10.5%","±3.5"
"            Employed","7,143","±694","683","±260","9.6%","±3.5"
"                Male","3,806","±498","174","±112","4.6%","±2.8"
"                Female","3,337","±468","509","±216","15.3%","±6.0"
"            Unemployed","188","±93","87","±60","46.3%","±22.0"
"                Male","78","±58","32","±37","41.0%","±36.3"
"                Female","110","±65","55","±46","50.0%","±31.4"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","9,824","±771","1,996","±499","20.3%","±4.6"
"            Worked full-time, year-round in the past 12 months","5,504","±639","27","±20","0.5%","±0.4"
"            Worked part-time or part-year in the past 12 months","2,304","±430","1,019","±325","44.2%","±9.1"
"            Did not work","2,016","±428","950","±353","47.1%","±11.2"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","1,499","±438","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","2,471","±599","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","2,764","±609","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","3,233","±691","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","3,363","±692","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","4,551","±779","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","5,842","±792","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","6,876","±758","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","6,365","±673","1,545","±352","24.3%","±5.1"
"    Male","3,200","±462","464","±166","14.5%","±4.8"
"    Female","3,165","±519","1,081","±304","34.2%","±7.8"
"    15 years","0","±18","0","±18","-","**"
"    16 to 17 years","2","±9","2","±9","100.0%","±100.0"
"    18 to 24 years","2,161","±480","1,037","±329","48.0%","±11.3"
"    25 to 34 years","2,427","±548","165","±101","6.8%","±4.4"
"    35 to 44 years","823","±273","76","±84","9.2%","±9.4"
"    45 to 54 years","137","±76","34","±36","24.8%","±21.6"
"    55 to 64 years","317","±96","148","±80","46.7%","±20.1"
"    65 to 74 years","174","±79","31","±29","17.8%","±16.1"
"    75 years and over","324","±123","52","±47","16.0%","±15.0"
"    Mean income deficit for unrelated individuals (dollars)","9,809","±648","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","3,775","±604","7","±10","0.2%","±0.3"
"    Worked less than full-time, year-round in the past 12 months","1,556","±399","869","±297","55.8%","±10.1"
"    Did not work","1,034","±224","669","±205","64.7%","±11.8"
"    Population in housing units for whom poverty status is determined","10,277","±822","2,227","±569","21.7%","±4.9"
